utterance_id,policy_id,model_id,kg_role,sem_max_cosine,top1_norm_kind,top1_norm_ref,top1_norm_text,utterance_text
100E_deepseek_13_Inputs_revised_4,100E,deepseek,AIResearcher:AIResearcher,0.7491355538368225,node_summary,AIGrant:AI Research and Development Investment,Dedicated financial commitment of over S$500 million through AI Singapore for AI R&D under RIE plans.,"As a graduate researcher and AIAP alumnus now working on a 100E project, I see the policy context as clear: 'Over S$500 million committed through AI Singapore for AI R&D' and 'Co-funding up to S$330,000 per project for 100 Experiments' are explicit ground truths. For compute, I estimate 500,000 GPU hours based on typical allocations for national AI programmes of this scale, though this is a rough guess. For trainers, I estimate 50 personnel, which aligns with the need to guide enterprises and practitioners across multiple sectors, but I note this is conservative given the programme's ambition. I agree with other participants' estimates because they match the policy's stated numbers and reasonable assumptions about infrastructure and staffing."
100E_gemini_19_Inputs_revised_0,100E,gemini,AIResearcher:AIResearcher,0.7589855194091797,source_span,AIGrant:AI Research and Development Investment#span0,"We have committed more than S$500 million through AI Singapore (AISG) under the Research, Innovation and Enterprise (RIE) 2020 and 2025 plans.","As a research fellow, I see the NAIS 2.0 as a significant commitment to advancing AI in Singapore. The S$500 million headline figure, while spread over several years, translates to a substantial annual allocation for R&D, which I estimate to be around S$100 million for 2023, covering both new and ongoing initiatives under this new umbrella. The co-funding cap for 100E projects is clearly stated and is a known quantity for researchers like myself seeking industry collaborations. For compute resources, while new infrastructure takes time, I anticipate a robust initial allocation of GPU hours, likely leveraging existing national resources and cloud partnerships, to kickstart the numerous experiments and projects. Finally, with the ambitious goal of boosting the AI practitioner pool, a dedicated team of trainers, supplemented by experts from academia and industry, would be essential, and I estimate around 80 personnel actively involved in training for 2023."
100E_gemini_31_Inputs_initial_2,100E,gemini,PolicyRole:AI for Public Good Principle,0.7941653728485107,node_summary,AIGrant:AI Research and Development Investment,Dedicated financial commitment of over S$500 million through AI Singapore for AI R&D under RIE plans.,"As a product manager focused on trustworthy AI in healthcare, these inputs represent a solid foundation for advancing Singapore's AI capabilities, particularly for the 2023 timeframe. The total financial commitment for AI R&D, which I estimate at S$128 million for 2023, is a robust annual allocation that signals serious intent to drive innovation. This figure, while slightly different from Omar's S$130M and A's S$125M, reflects a strong initial push to operationalize NAIS 2.0, which is crucial for initiating the kind of rigorous, safety-focused projects my sector demands. The S$330,000 cap on government co-funding per 100E project is a critical incentive; it directly reduces the financial risk for health-tech companies like mine to invest in developing AI solutions that meet high standards of robustness and safety. I fully agree with Omar and A on this figure, as it's explicitly stated in the policy. Similarly, the allocation of 2 million GPU hours is essential. For developing and validating complex diagnostic AI models, significant compute infrastructure is non-negotiable. This level of access will enable thorough experimentation and validation, which is vital for building trustworthy AI. Finally, the provision of 250 AI experts and trainers is excellent news. To ensure AI is deployed responsibly, especially in sensitive areas like healthcare, a highly skilled workforce is paramount. These trainers will be instrumental in upskilling practitioners to not just build AI, but to build it right, with an emphasis on ethics and reliability. My estimates largely align with the other participants, reinforcing a shared understanding of the practical resources needed to achieve the policy's ambitious goals for 2023."
100E_deepseek_17_Inputs_initial_2,100E,deepseek,PolicyRole:AI for Public Good Principle,0.6215577125549316,source_span,AIGrant:AI Research and Development Investment#span0,"We have committed more than S$500 million through AI Singapore (AISG) under the Research, Innovation and Enterprise (RIE) 2020 and 2025 plans.","As a retired educator volunteering with seniors, I see the government's S$500 million commitment as a solid foundation, but I worry that the compute and trainer numbers are too low for the ambitious goal of 15,000 AI practitioners. The policy clearly states S$500 million and S$330,000 per project, so I accept those. For GPU hours, I agree with the earlier estimate of 500,000 annually, as Singapore's small size limits infrastructure. However, I think 50 trainers is insufficient for scaling up to 15,000 practitioners; we need more trainers to ensure hands-on guidance, especially for seniors and non-tech enterprises. The earlier posts seem reasonable but may underestimate the need for broader community outreach."
BK21_deepseek_36_Inputs_revised_2,BK21,deepseek,GraduateStudent:GraduateStudent,0.6852441430091858,edge_fact,edge_0133#source_text,"Education research group project budget includes graduate student support (research scholarship) at minimum monthly amounts: master's 700K, doctoral 1.3M, doctoral candidate 1M KRW.","As a master's student in the AI lab at Hanyang University's College of Engineering, I see the BK21 program's inputs from a ground-level perspective. The total funding of 408,080 million KRW is the national budget for 2022, as stated in the policy context. For Hanyang, this is the total allocated to the university's education research groups and graduate innovation support. The graduate scholarship slots of 19,000 reflect the national total of about 12,600 master's and 6,400 doctoral students supported per year, consistent with the policy context. For postdoc positions, with 577 education research groups nationally and each group typically supporting 2-3 postdocs, I estimate around 1,200 positions. This aligns with the prior posts from 경북대학교 and 전남, but I emphasize that Hanyang's share would be proportional to its number of groups, not the national total. However, since the prediction fields ask for the total program inputs, I use the national figures as the most relevant aggregate for this phase."
100E_deepseek_31_Activities_initial_0,100E,deepseek,AIResearcher:AIResearcher,0.7050960659980774,source_span,AISingapore:AISingapore#span1,"The 100 Experiments programme exemplifies industry-academia collaboration with co-funding, managed by AISingapore.","Given the S$500 million funding and 50 trainers, I expect a focused but not massive outreach effort in 2023. The 100E programme targets 100 experiments, so about 40 enterprise outreach sessions should generate enough problem statements. With 50 trainers, we can run roughly 20 training workshops (each requiring 2-3 trainers) and 12 matchmaking events to pair researchers with enterprises. Platform onboarding assists will be high because many enterprises need technical help to use the AI experimentation platform, especially those new to AI. My experience with the AI upskilling programme showed that hands-on support is critical for adoption."
100E_deepseek_27_Inputs_initial_4,100E,deepseek,AIPractitioner:AIPractitioner,0.7188891172409058,deontic_norm,edge_0232#source_text,AI researchers can access dedicated financial commitment of over S$500 million through AI Singapore for AI R&D.,"As a cybersecurity AI analyst in a bank, I see the government's S$500 million commitment as a solid foundation for AI R&D, directly stated in the policy context. The co-funding cap of S$330,000 per project is clearly stated and matches what I've seen in industry collaborations. For compute infrastructure, given the emphasis on industry use and the scale needed for 100E projects, 1 million GPU hours annually is a reasonable estimate based on typical national AI programme allocations. The 50 trainers aligns with the need for specialized AI experts to guide enterprises, as I've seen in similar initiatives. Other participants' estimates match my own, so I see no reason to diverge."
BK21_deepseek_30_Activities_initial_0,BK21,deepseek,GraduateStudent:GraduateStudent,0.725727915763855,source_span,NationalResearchFoundation:NationalResearchFoundation#span10,The National Research Foundation of Korea manages the BK21 program.,"As a doctoral student in social welfare at a women's university in Seoul, I see the BK21 program's activities as crucial for ensuring funds reach research groups and that accountability is maintained. The total funds disbursed should closely match the allocated 408,080 million KRW for education research groups, as the 70% March and 30% September schedule is standard and efficient, with minimal delays. Evaluation panels are convened for annual, mid-term, and compliance purposes—likely three formal meetings per year given the program's structure. Consulting sessions are offered to groups that request them; based on the policy context that 280 out of 578 groups wished to receive consulting, I estimate 280 sessions were held. Compliance checks are prioritized for innovative talent training groups, which number 205, as these are subject to implementation checks. Budget adjustments and reallocations are handled by the Project Oversight Committee based on evaluation outcomes, but that doesn't directly affect the count of activities. My estimates reflect a typical year where most funds are disbursed on schedule, evaluations occur as planned, consulting is demand-driven, and compliance checks focus on the innovative training groups."
100E_deepseek_39_Inputs_revised_3,100E,deepseek,AIPractitioner:AIPractitioner,0.7032630443572998,deontic_norm,edge_0232#source_text,AI researchers can access dedicated financial commitment of over S$500 million through AI Singapore for AI R&D.,"As an AI product manager leading the AI roadmap at a digital native company, I see the policy context clearly stating over S$500 million committed for AI R&D and co-funding up to S$330,000 per 100E project. These are ground truth values from the policy. For compute, I estimate 1 million GPU hours based on typical allocations for national AI programs of this scale—this supports both industry and academic experimentation, which aligns with my experience in cloud infrastructure. For trainers, I estimate 50 personnel, drawing from my understanding that a focused team of AI experts can effectively guide enterprises and practitioners, especially given the emphasis on quality over quantity in early deployment. I note that other participants (0esgh7, 4s3i1x, n9jx48) provided similar estimates, which reinforces my reasoning, but I arrived at these independently based on my own expertise in product strategy and program scale."
100E_gemini_02_Inputs_revised_3,100E,gemini,PolicyRole:AI for Public Good Principle,0.7528609037399292,node_summary,Enterprise:People and Businesses of Singapore,Target beneficiaries of AI benefits and opportunities created by NAIS 2.0.,"As a health-tech startup founder leveraging AI and participating in the AI Trailblazers programme, I view the inputs for NAIS 2.0 as critical enablers for innovation and growth. The S$500 million total funding committed for AI R&D is a clear and substantial signal of the government's long-term dedication to fostering a robust AI ecosystem, providing the financial foundation for initiatives that I, and other enterprises, can tap into. The S$330,000 maximum co-funding per 100 Experiments project is a direct and highly attractive incentive that significantly de-risks the development of novel AI solutions, which is crucial for startups like mine looking to innovate in 2023. For compute infrastructure, my experience with deep learning and generative AI models confirms the immense need for GPU resources; the policy's emphasis on investing in infrastructure and providing free access suggests a substantial allocation. I concur with the other participants that 8 million GPU hours for 2023 is a realistic and necessary provision to support the numerous experiments and training demands across the various programs, including those I might undertake. Similarly, to effectively upskill the workforce and provide hands-on guidance for complex AI projects, a dedicated pool of experts is essential. The estimate of 250 AI experts and trainers aligns with the scale required to achieve the ambitious talent development goals and support enterprises in 2023, reflecting a practical commitment to human capital development."
