policy_id,model_id,scenario_uid,utterance_id,kg_role,max_cosine,threshold,grounded,gold_grounded,full_text
BK21,deepseek,BK21_deepseek_15,BK21_deepseek_15_Impact_revised_1,GraduateStudent:GraduateStudent,0.31806058182821806,0.3652081030722623,False,,"As a doctoral student in English literature at Inha University, I see the impact phase as the long-term result of sustained investment in graduate talent development. The BK21 program's consistent funding of 19,000 graduate slots and 577 postdoc positions annually, along with the high output of 28,500 publications and 5,700 international conference presentations in 2022, builds a strong talent pipeline. Over a decade, these graduates and postdocs advance in their careers, becoming faculty, industry leaders, and collaborators, which enhances South Korea's global S&T talent competitiveness. The dissemination of outstanding group achievements through the BK21 webzine and forums spreads best practices across institutions, improving research culture in terms of integrity, collaboration, and interdisciplinarity. However, the impact on national rank is gradual; I estimate South Korea will move from around 18th to 16th in the global S&T talent competitiveness index over the decade, as other nations also invest heavily. For high-impact publications, the increased focus on quality and collaboration, supported by the program's evaluation and consulting feedback loops, should raise the rate from about 10 to 11.2 per 1000 researchers, reflecting a modest but meaningful improvement in research excellence. I note that 부산 (oqg3qt) estimated a rank of 15 and 12.5 high-impact publications, but I am slightly more conservative because as a humanities researcher, I see that the benefits of interdisciplinary collaboration take longer to materialize in high-impact metrics, and the humanities and social sciences groups may not contribute as directly to top-cited publications in S&T fields."
BK21,deepseek,BK21_deepseek_13,BK21_deepseek_13_Activities_revised_2,EarlyCareerResearcher:EarlyCareerResearcher,0.31858630910016694,0.3652081030722623,False,,"As a postdoctoral researcher at Jeonbuk National University, I see the Activities phase as the operational engine of the BK21 program. The total funds disbursed should match the allocated budget of 408,080 million KRW, as the 70% March / 30% September schedule is a standard government disbursement mechanism with minimal delays. Evaluation panels are convened for three key purposes: annual evaluation, mid-term preparation, and compliance oversight, which aligns with the policy's structured evaluation cycle. Consulting sessions are offered to groups that request them; the policy explicitly states 280 out of 578 groups wished to receive consulting, so I estimate 280 sessions. Compliance checks are executed for the 205 innovative talent training groups, as specified in the policy, to verify implementation. Budget adjustments and reallocations based on evaluation outcomes are handled by the Project Oversight Committee, but these occur after evaluations, so they do not affect the initial disbursement in 2022. My estimates reflect the policy's explicit numbers and my understanding of typical administrative efficiency. I agree with the estimates from 전북대학교 (qyiffe) and 충청북도 (EducationResearchGroup) as they align with the policy context."
BK21,deepseek,BK21_deepseek_44,BK21_deepseek_44_Outcomes_initial_4,EarlyCareerResearcher:EarlyCareerResearcher,0.31958174397949524,0.3652081030722623,False,,"As a postdoc in a biomedical education research group at a Chungcheong region medical school, I see the Outcomes phase as the direct result of the funding, activities, and outputs from prior phases. The national-level inputs of 19,000 graduate slots and 577 postdoc positions, combined with full fund disbursement and evaluation activities, enable substantial research output and international exposure. Based on my experience in a regional university, I estimate that about 50% of BK21 participants are involved in international research collaboration, yielding 9,500 participants. For graduate employment, I estimate that about 84.2% of graduates find employment within one year, which is slightly below the policy target of 86.7% due to the declining trend noted in the policy context. This translates to about 16,000 employed graduates out of 19,000. The full-time faculty lecture ratio I estimate at 75%, reflecting the policy's emphasis on increasing full-time faculty involvement but acknowledging that some courses are still taught by part-time instructors. The evaluation and consulting feedback loops help improve these outcomes by identifying weaknesses and providing recommendations, but the impact is gradual. I note that other participants provided identical estimates, which reinforces my confidence, though I arrived at them independently from my own reasoning as a postdoc."
BK21,deepseek,BK21_deepseek_41,BK21_deepseek_41_Outputs_initial_3,GraduateStudent:GraduateStudent,0.3234006511757845,0.3652081030722623,False,,"As a doctoral student in mechanical engineering at Hanyang University, I am part of an education research group in robotics and autonomous driving. From the Inputs phase, the national figures of 19,000 graduate slots and 1,000 postdoc positions are clear. Given Hanyang's size and number of groups, I estimate about 250 graduate students and 15 postdocs supported locally. In my group, each graduate student typically produces 2-3 publications per year and makes 1-2 international conference presentations. With 250 graduate students, that yields roughly 750 publications and 200 international presentations. Postdocs contribute additional outputs but are fewer in number. International collaboration is common in robotics—about 30% of our projects involve overseas partners—but I keep the presentation estimate conservative. Compliance with reporting is high (575 out of 578 groups submitted self-evaluation reports), so I assume all supported participants are counted. The other participants' estimates align with my own, and I see no reason to adjust."
BK21,deepseek,BK21_deepseek_12,BK21_deepseek_12_Inputs_revised_2,GraduateStudent:GraduateStudent,0.3253967942700683,0.3652081030722623,False,,"As a graduate student at a science and technology university in Daejeon, I see the BK21 budget from a firsthand perspective. The total national budget is 410,597 million KRW as stated in the policy context. For Hanyang University, a top engineering school, I estimate their share is around 2-3 billion KRW based on typical allocations for leading universities. Graduate scholarship slots: with monthly stipends of 700K-1.3M KRW and operating costs capped at 10%, the remaining funds support about 190 slots per year across all groups at Hanyang. Postdoc positions: minimum 3M KRW/month, so each postdoc costs 36M KRW/year. With limited budget left after student scholarships, I estimate about 3 postdoc positions per group, and Hanyang has roughly 10 groups, so 30 total. These numbers reflect my personal experience seeing how funds are distributed in our lab."
BK21,deepseek,BK21_deepseek_44,BK21_deepseek_44_Outcomes_revised_0,GraduateStudent:GraduateStudent,0.3261549251774056,0.3652081030722623,False,,"As a doctoral student in economics at Pusan National University, I see the Outcomes phase as the direct result of the funding, activities, and outputs from prior phases. The national-level inputs of 19,000 graduate slots and 577 postdoc positions, combined with full fund disbursement and evaluation activities, enable substantial research output and international exposure. Based on my experience in a regional university, I estimate that about 50% of BK21 participants are involved in international research collaboration, yielding 9,500 participants. For graduate employment, I estimate that about 84.2% of graduates find employment within one year, which is slightly below the policy target of 86.7% due to the declining trend noted in the policy context. This translates to about 16,000 employed graduates out of 19,000. The full-time faculty lecture ratio I estimate at 75%, reflecting the policy's emphasis on increasing full-time faculty involvement but acknowledging that some courses are still taught by part-time instructors. The evaluation and consulting feedback loops help improve these outcomes by identifying weaknesses and providing recommendations, but the impact is gradual. I note that other participants have not yet posted, so my estimates are based solely on my own reasoning and the policy context."
BK21,deepseek,BK21_deepseek_22,BK21_deepseek_22_Activities_initial_2,GraduateStudent:GraduateStudent,0.333613551632022,0.3652081030722623,False,,"As a master's student in biosciences at a private university in Gyeongbuk, I see the BK21 funds being disbursed according to the standard schedule: 70% in March and 30% in September. I expect full disbursement of the allocated 355,151 million KRW because the policy is well-established and the NRF handles it efficiently. Evaluation panels are convened for annual, mid-term, and compliance purposes, so I estimate 3 formal meetings per year. For consulting sessions, the policy states 280 out of 578 groups nationally received consulting, but Hanyang hosts only about 10-15 education research groups. I estimate about 140 sessions, assuming roughly half of Hanyang's groups request consulting, consistent with the national proportion. Compliance checks are executed on innovative talent training groups; the policy mentions 205 groups nationally, but Hanyang's share is proportional, so I estimate about 100 checks. My estimates differ from the economics researcher (0qvt7a) who used national numbers directly, because I scale to Hanyang's actual number of groups. I agree more with the biosciences researcher (lmhk8h) who also scaled proportionally, though my exact numbers may vary slightly due to my perspective as a recipient."
BK21,deepseek,BK21_deepseek_13,BK21_deepseek_13_Outputs_revised_1,EducationResearchGroup:EducationResearchGroup,0.3399231396174883,0.3652081030722623,False,,"As the head of a new AI/software education research group at a provincial private university in Chungcheongbuk-do, I see the Outputs phase as the direct result of the allocated inputs and activities. With 19,000 graduate slots and 1,200 postdoc positions funded, the program is designed to produce measurable research outputs. Based on my own experience and observations in my education research group, a typical graduate student produces about 2-3 publications per year (including co-authored papers), and postdocs produce 4-5. I conservatively estimate an average of 3 publications per supported participant (graduate + postdoc), yielding 57,000 total publications. For international conference presentations, I estimate about 0.5 per participant, as many students present at least once during their degree, but not all in a single year. This gives 9,500 presentations. These estimates assume high compliance with reporting (575 out of 578 groups submitted self-evaluations) and active research engagement. The policy's emphasis on internationalization and healthy research culture supports these output levels. I note that the other participant's estimates match mine, which reinforces my confidence, but I arrived at these numbers independently based on my group's productivity patterns and the policy's resource allocation."
BK21,deepseek,BK21_deepseek_44,BK21_deepseek_44_Inputs_revised_3,GraduateStudent:GraduateStudent,0.346226115839822,0.3652081030722623,False,,"As a doctoral student in biotechnology at a prestigious Seoul university, I am directly supported by the BK21 program. The policy context clearly states the annual budget is 408,080 million KRW for 2022, which I accept as ground truth. For graduate scholarship slots, the policy mentions about 12,600 students in the future talent training project and 6,400 in the innovative talent training project per year, totaling 19,000 nationally. While other participants estimated these as national slots, I agree that this is the total number of slots funded across all universities, not just Hanyang. However, the simulation target is about Hanyang University's program, and the policy does not specify Hanyang's share. I stick with the national figure because the policy context does not break it down by university, and the simulation target's time window (2022) matches the annual budget. For postdoc positions, the policy states 577 education research groups nationally, each likely supporting at least one postdoc, so I estimate 577 postdoc positions. My personal experience in a regional university suggests that actual slots at Hanyang may be lower due to competition, but without specific data, I use the national figures as a reasonable proxy for the program's scale."
BK21,deepseek,BK21_deepseek_14,BK21_deepseek_14_Activities_initial_3,EducationResearchGroup:EducationResearchGroup,0.35603504460828017,0.3652081030722623,False,,"As the head of an education research group at Hanyang University, I see the funding flow as efficient: the 70% March and 30% September schedule ensures we get most funds early for stipends and operations, with the remainder tied to compliance. Given the national budget of 40.8 billion KRW for Hanyang's 40 groups, I expect full disbursement since no major fraud is flagged. Evaluation panels are triggered by the annual cycle: one annual, one mid-term, and one compliance meeting per year, totaling 3. Consulting sessions are offered to groups that request them; from the policy context, 280 out of 578 groups requested consulting, so for Hanyang's 40 groups, if all requested, that would be 40 sessions. Compliance checks focus on the 205 innovative talent training groups as stated in the policy, so 205 checks are executed. I disagree with the graduate student's estimate of 280 consulting sessions for Hanyang alone—that seems too high; the policy's 280 is for all 578 groups, so Hanyang's share would be about 40 sessions. Budget adjustments based on evaluations affect future disbursements, not the current year's total."
