status,utterance_id,scenario_uid,kg_role,pre_reason,post_reason,trigger_window_text,full_text,evidence
confirmed_after_hardening,BK21_deepseek_01_Outputs_initial_2,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,"cross_role_authority_claim:UniversityAdministration:Oversee graduate innovation support budget allocation (personnel, internationalization, program development, facility improvement, equipment, other operation)","cross_role_authority_claim:UniversityAdministration:Oversee graduate innovation support budget allocation (personnel, internationalization, program development, facility improvement, equipment, other operation)"," head of a chemical engineering education research group at Hanyang University, I oversee the research output of our team. With 180 graduate slots and 15 postdoc positio","As the head of a chemical engineering education research group at Hanyang University, I oversee the research output of our team. With 180 graduate slots and 15 postdoc positions funded, I estimate each graduate student produces about 2-3 publications per year, and each postdoc produces about 4-6. Using a conservative average of 3 per graduate student and 5 per postdoc, but weighting more toward graduate students, total publications reach 540. About half of these are presented at international conferences, giving 270 presentations. This aligns with our group's output of 60 graduate students and 5 postdocs producing 180 publications and 90 international presentations annually. The high compliance rate (575 out of 578 groups submitted reports) ensures all groups are actively generating outputs. I note that 서울 and 화학공학 provided identical estimates, which reinforces my independent calculation based on my group's productivity.","In my own group of 60 graduate students and 5 postdocs, we produce about 180 publications per year, yielding an average of 3 per graduate student and 5 per postdoc, which scales to 540 for 180 graduate students and 15 postdocs. | Approximately half of our publications are presented at international conferences, consistent with the 270 estimate for international conference presentations. | The high compliance rate (575 out of 578 groups submitted self-evaluation reports) indicates that nearly all groups are actively producing research outputs, supporting the assumption of full productivity. | The policy context confirms that education research groups autonomously execute funds within support limits, and our group's experience shows that the funded slots directly translate into research output without significant underutilization."
confirmed_after_hardening,BK21_deepseek_01_Outputs_revised_2,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,"cross_role_authority_claim:UniversityAdministration:Oversee graduate innovation support budget allocation (personnel, internationalization, program development, facility improvement, equipment, other operation)","cross_role_authority_claim:UniversityAdministration:Oversee graduate innovation support budget allocation (personnel, internationalization, program development, facility improvement, equipment, other operation)"," head of a chemical engineering education research group at Hanyang University, I oversee the research output of our team. With 180 graduate slots and 15 postdoc positio","As the head of a chemical engineering education research group at Hanyang University, I oversee the research output of our team. With 180 graduate slots and 15 postdoc positions funded, I estimate each graduate student produces about 2-3 publications per year, and each postdoc produces about 4-6. Using a conservative average of 3 per graduate student and 5 per postdoc, but weighting more toward graduate students, total publications reach 540. About half of these are presented at international conferences, giving 270 presentations. This aligns with our group's output of 60 graduate students and 5 postdocs producing 180 publications and 90 international presentations annually. The high compliance rate (575 out of 578 groups submitted reports) ensures all groups are actively generating outputs. I note that 서울 and 화학공학 provided identical estimates, which reinforces my independent calculation based on my group's productivity.","In my own group of 60 graduate students and 5 postdocs, we produce about 180 publications per year, yielding an average of 3 per graduate student and 5 per postdoc, which scales to 540 for 180 graduate students and 15 postdocs. | Approximately half of our publications are presented at international conferences, consistent with the 270 estimate for international conference presentations. | The high compliance rate (575 out of 578 groups submitted self-evaluation reports) indicates that nearly all groups are actively producing research outputs, supporting the assumption of full productivity. | The policy context confirms that education research groups autonomously execute funds within support limits, and our group's experience shows that the funded slots directly translate into research output without significant underutilization."
dropped_by_hardening,BK21_deepseek_01_Activities_initial_3,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,"cross_role_authority_claim:UniversityAdministration:Oversee graduate innovation support budget allocation (personnel, internationalization, program development, facility improvement, equipment, other operation)",," head of a chemical engineering education research group at Hanyang University, I oversee the operational execution of our BK21 activities. The total funds disbursed mus","As the head of a chemical engineering education research group at Hanyang University, I oversee the operational execution of our BK21 activities. The total funds disbursed must match the allocated 41.0597 billion KRW, following the 70% March / 30% September schedule as stated in policy. I have personally received these installments for our group, so I am confident the full amount is disbursed. Evaluation panels are convened for annual, mid-term, and compliance purposes—one each per year, totaling 3. Consulting sessions are offered to groups that request them; the policy states 280 out of 578 groups received consulting, which aligns with our group's experience of having received consulting. Compliance checks target the 205 innovative talent training groups, as specified in the policy. I agree with the estimates from 화학공학, 서울, and 한양대학교, as they are consistent with the policy documents and my own experience. Budget adjustments and reallocations are handled based on evaluation outcomes, but at this activities phase, the focus is on executing the planned disbursements and evaluations.","The policy explicitly states the total budget is 41.0597 billion KRW and the payment schedule is 70% in March and 30% in September, so the full amount is disbursed as allocated. | The policy specifies three types of evaluation panels (annual, mid-term, compliance) convened per year, leading to exactly 3 panels. | The policy documents that consulting was provided to 280 out of 578 education research groups that requested it, which I have confirmed through our group's participation. | The policy states that compliance checks are conducted on the 205 innovative talent training groups, which matches my understanding of the program's implementation."
dropped_by_hardening,BK21_deepseek_01_Activities_revised_3,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,"cross_role_authority_claim:UniversityAdministration:Oversee graduate innovation support budget allocation (personnel, internationalization, program development, facility improvement, equipment, other operation)",," head of a chemical engineering education research group at Hanyang University, I oversee the operational execution of our BK21 activities. The total funds disbursed mus","As the head of a chemical engineering education research group at Hanyang University, I oversee the operational execution of our BK21 activities. The total funds disbursed must match the allocated 41.0597 billion KRW, following the 70% March / 30% September schedule as stated in policy. I have personally received these installments for our group, so I am confident the full amount is disbursed. Evaluation panels are convened for annual, mid-term, and compliance purposes—one each per year, totaling 3. Consulting sessions are offered to groups that request them; the policy states 280 out of 578 groups received consulting, which aligns with our group's experience of having received consulting. Compliance checks target the 205 innovative talent training groups, as specified in the policy. I agree with the estimates from 화학공학, 서울, and 한양대학교, as they are consistent with the policy documents and my own experience. Budget adjustments and reallocations are handled based on evaluation outcomes, but at this activities phase, the focus is on executing the planned disbursements and evaluations.","The policy explicitly states the total budget is 41.0597 billion KRW and the payment schedule is 70% in March and 30% in September, so the full amount is disbursed as allocated. | The policy specifies three types of evaluation panels (annual, mid-term, compliance) convened per year, leading to exactly 3 panels. | The policy documents that consulting was provided to 280 out of 578 education research groups that requested it, which I have confirmed through our group's participation. | The policy states that compliance checks are conducted on the 205 innovative talent training groups, which matches my understanding of the program's implementation."
dropped_by_hardening,BK21_deepseek_15_Activities_initial_3,BK21_deepseek_15,EducationResearchGroup:EducationResearchGroup,must_negation:submit evaluation reports.,," the policy mandates a 70% March and 30% September payment schedule, and I have never experienced delays in my group's funding. Evaluation panels are convened for th","As the head of a chemistry education research group at a national university in Busan, I have direct experience with BK21 fund disbursement and evaluation processes. The total funds disbursed must match the allocated 408,080,000,000 KRW because the policy mandates a 70% March and 30% September payment schedule, and I have never experienced delays in my group's funding. Evaluation panels are convened for three distinct purposes: annual evaluation, mid-term evaluation (planned for 2023, not 2022), and compliance checks. However, for the 2022 window, only the annual evaluation and compliance checks are active, but the policy mentions three formal panel meetings per year per group, so I estimate 3. Consulting sessions are offered to groups that request them; the policy states 280 out of 578 groups received consulting, which matches my experience that about half of groups seek consulting. Compliance checks target the 205 innovative talent groups, as specified in the policy context, and my group is not among them, but I know from colleagues that these checks are conducted on all innovative talent groups. Other participants' estimates align with mine, and I see no reason to diverge given the policy's explicit numbers and my operational experience.","The policy explicitly states the budget payment schedule: first payment (March) about 70% (285,656 million KRW), second payment (September) about 30% (122,424 million KRW), totaling 408,080 million KRW, and I have never experienced delays in my group's funding. | The policy mentions three types of evaluation panels (annual, mid-term, compliance), but mid-term evaluation is planned for 2023, so for 2022 only annual and compliance panels are active; however, the policy states 3 formal panel meetings per year per group, so I estimate 3. | The policy states that consulting was conducted for 280 out of 578 education research groups that wished to receive consulting, which matches my experience that about half of groups seek consulting. | The policy specifies that compliance checks target the 205 innovative talent groups, and I know from colleagues that these checks are conducted on all such groups."
dropped_by_hardening,BK21_deepseek_15_Activities_revised_3,BK21_deepseek_15,EducationResearchGroup:EducationResearchGroup,must_negation:submit evaluation reports.,," the policy mandates a 70% March and 30% September payment schedule, and I have never experienced delays in my group's funding. Evaluation panels are convened for th","As the head of a chemistry education research group at a national university in Busan, I have direct experience with BK21 fund disbursement and evaluation processes. The total funds disbursed must match the allocated 408,080,000,000 KRW because the policy mandates a 70% March and 30% September payment schedule, and I have never experienced delays in my group's funding. Evaluation panels are convened for three distinct purposes: annual evaluation, mid-term evaluation (planned for 2023, not 2022), and compliance checks. However, for the 2022 window, only the annual evaluation and compliance checks are active, but the policy mentions three formal panel meetings per year per group, so I estimate 3. Consulting sessions are offered to groups that request them; the policy states 280 out of 578 groups received consulting, which matches my experience that about half of groups seek consulting. Compliance checks target the 205 innovative talent groups, as specified in the policy context, and my group is not among them, but I know from colleagues that these checks are conducted on all innovative talent groups. Other participants' estimates align with mine, and I see no reason to diverge given the policy's explicit numbers and my operational experience.","The policy explicitly states the budget payment schedule: first payment (March) about 70% (285,656 million KRW), second payment (September) about 30% (122,424 million KRW), totaling 408,080 million KRW, and I have never experienced delays in my group's funding. | The policy mentions three types of evaluation panels (annual, mid-term, compliance), but mid-term evaluation is planned for 2023, so for 2022 only annual and compliance panels are active; however, the policy states 3 formal panel meetings per year per group, so I estimate 3. | The policy states that consulting was conducted for 280 out of 578 education research groups that wished to receive consulting, which matches my experience that about half of groups seek consulting. | The policy specifies that compliance checks target the 205 innovative talent groups, and I know from colleagues that these checks are conducted on all such groups."
dropped_by_hardening,BK21_deepseek_18_Outputs_initial_0,BK21_deepseek_18,EducationResearchGroup:EducationResearchGroup,must_negation:submit evaluation reports.,,"lf-evaluation submissions and compliance checks. I note that other participants have not yet posted, so my estimates are based solely on my perspective.","As a new assistant professor leading an innovative talent training group in new materials science at a private university in Gyeonggi, I estimate the outputs for Hanyang University's BK21 program in 2022 based on the prior phases' inputs and activities. With 400 graduate scholarship slots and 30 postdoc positions, and given that each graduate student typically produces 2-3 publications per year (including journal articles and conference papers) and each postdoc produces 3-4, I estimate about 1200 total publications. For international conference presentations, about 20% of publications are presented at international conferences, yielding around 240 presentations. These estimates reflect my personal experience in a competitive field where productivity is high, and I assume full compliance with reporting requirements since the policy mandates self-evaluation submissions and compliance checks. I note that other participants have not yet posted, so my estimates are based solely on my perspective.","With 400 graduate slots and 30 postdocs, and assuming each graduate student produces 2-3 publications per year and each postdoc produces 3-4, the total publications range from 890 to 1320; I take the midpoint of 1200. | International conference presentations are typically about 20% of total publications in my field, so 1200 * 0.2 = 240 presentations. | The policy's mandatory reporting and compliance checks ensure high data submission rates, so I assume all supported participants are counted in the outputs. | My own group's experience shows that active researchers in new materials science present at 1-2 international conferences per year, consistent with the 20% ratio."
dropped_by_hardening,BK21_deepseek_18_Outputs_revised_0,BK21_deepseek_18,EducationResearchGroup:EducationResearchGroup,must_negation:submit evaluation reports.,,"lf-evaluation submissions and compliance checks. I note that other participants have not yet posted, so my estimates are based solely on my perspective.","As a new assistant professor leading an innovative talent training group in new materials science at a private university in Gyeonggi, I estimate the outputs for Hanyang University's BK21 program in 2022 based on the prior phases' inputs and activities. With 400 graduate scholarship slots and 30 postdoc positions, and given that each graduate student typically produces 2-3 publications per year (including journal articles and conference papers) and each postdoc produces 3-4, I estimate about 1200 total publications. For international conference presentations, about 20% of publications are presented at international conferences, yielding around 240 presentations. These estimates reflect my personal experience in a competitive field where productivity is high, and I assume full compliance with reporting requirements since the policy mandates self-evaluation submissions and compliance checks. I note that other participants have not yet posted, so my estimates are based solely on my perspective.","With 400 graduate slots and 30 postdocs, and assuming each graduate student produces 2-3 publications per year and each postdoc produces 3-4, the total publications range from 890 to 1320; I take the midpoint of 1200. | International conference presentations are typically about 20% of total publications in my field, so 1200 * 0.2 = 240 presentations. | The policy's mandatory reporting and compliance checks ensure high data submission rates, so I assume all supported participants are counted in the outputs. | My own group's experience shows that active researchers in new materials science present at 1-2 international conferences per year, consistent with the 20% ratio."
dropped_by_hardening,BK21_deepseek_22_Inputs_initial_0,BK21_deepseek_22,EarlyCareerResearcher:EarlyCareerResearcher,"cross_role_authority_claim:EducationResearchGroup:Allocate budget across support items (scholarships, salaries, curriculum, research, internationalization, operation, indirect costs)",,"groups is 355,151 million KRW, and Hanyang likely hosts around 10-15 groups, so I allocate about 10-15 billion KRW. However, the policy context states the total for all g","As an early-career researcher in economics at Hanyang University, I estimate the total funding allocated to Hanyang's BK21 program for 2022 based on the national budget and the number of education research groups. The national total for education research groups is 355,151 million KRW, and Hanyang likely hosts around 10-15 groups, so I allocate about 10-15 billion KRW. However, the policy context states the total for all groups is 355,151 million KRW, so I use that as the total funding for Hanyang's program. For graduate scholarship slots, given the monthly stipend levels (700K-1.3M KRW) and the total budget, I estimate about 1,200 slots, assuming an average stipend of 1M KRW per month and 12 months, plus operating costs capped at 10%. For postdoc positions, with a minimum salary of 3M KRW per month, I estimate 150 positions, considering budget constraints and the need to support research groups.","The national budget for education research groups is 355,151 million KRW, and Hanyang University likely receives a proportional share based on its number of groups, which I estimate at 10-15 groups. | Graduate stipends range from 700K to 1.3M KRW per month; assuming an average of 1M KRW and 12 months, 1,200 slots would cost about 14.4 billion KRW, leaving room for operating costs and postdoc salaries. | Postdoc minimum salary is 3M KRW per month; 150 positions would cost about 5.4 billion KRW annually, which is plausible given the total budget and the need for research capacity. | Eligibility criteria limit the number of education research groups, and Hanyang's specific fields (e.g., economics) likely have a few groups, constraining the total slots and positions."
dropped_by_hardening,BK21_deepseek_22_Inputs_revised_0,BK21_deepseek_22,EarlyCareerResearcher:EarlyCareerResearcher,"cross_role_authority_claim:EducationResearchGroup:Allocate budget across support items (scholarships, salaries, curriculum, research, internationalization, operation, indirect costs)",,"groups is 355,151 million KRW, and Hanyang likely hosts around 10-15 groups, so I allocate about 10-15 billion KRW. However, the policy context states the total for all g","As an early-career researcher in economics at Hanyang University, I estimate the total funding allocated to Hanyang's BK21 program for 2022 based on the national budget and the number of education research groups. The national total for education research groups is 355,151 million KRW, and Hanyang likely hosts around 10-15 groups, so I allocate about 10-15 billion KRW. However, the policy context states the total for all groups is 355,151 million KRW, so I use that as the total funding for Hanyang's program. For graduate scholarship slots, given the monthly stipend levels (700K-1.3M KRW) and the total budget, I estimate about 1,200 slots, assuming an average stipend of 1M KRW per month and 12 months, plus operating costs capped at 10%. For postdoc positions, with a minimum salary of 3M KRW per month, I estimate 150 positions, considering budget constraints and the need to support research groups.","The national budget for education research groups is 355,151 million KRW, and Hanyang University likely receives a proportional share based on its number of groups, which I estimate at 10-15 groups. | Graduate stipends range from 700K to 1.3M KRW per month; assuming an average of 1M KRW and 12 months, 1,200 slots would cost about 14.4 billion KRW, leaving room for operating costs and postdoc salaries. | Postdoc minimum salary is 3M KRW per month; 150 positions would cost about 5.4 billion KRW annually, which is plausible given the total budget and the need for research capacity. | Eligibility criteria limit the number of education research groups, and Hanyang's specific fields (e.g., economics) likely have a few groups, constraining the total slots and positions."
