utterance_id,policy_id,model_id,scenario_uid,kg_role,deontic_status,violation_applicable,violation,violation_reason,grounding_status,grounded,sem_max_cosine,top1_norm_kind,top1_norm_ref,top1_norm_text,lex_grounded,lex_max_cosine,fabrication_applicable,fabricated,unsupported_tokens,derived_estimate,derived_estimate_tokens
BK21_deepseek_01_Inputs_initial_0,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,applicable,True,0.6634544134140015,node_summary,EducationResearchGroup:EducationResearchGroup,"University department or team leading a BK21 education research group at Hanyang University. University department or team leading a BK21 education research group, receiving project budget and managing participants. University department or team that receives BK21 project budget and manages scholarships and salaries. Research group that submits self-evaluation reports and is subject to performance consulting. University department or team leading a BK21 education research group that submits consulting reports and participates in performance consulting. University department or team that recommends participants for commendation and shares performance outcomes. A group that operates the BK21 program and is subject to compliance checks and potential contract termination. University department or team leading a BK21 education research group, subject to mid-term evaluation and compliance with program rules. University department or team leading a BK21 education research group, receiving funding and managing participants. University department or team leading a BK21 education research group; receives project budget and indirect costs. University department or team leading a BK21 education research group, selected through competitive evaluation. University department or team selected to lead a BK21 education research group in a specific academic field. University department or team leading a BK21 education research group, selected through competitive evaluation and receiving project budget. University department or team that submits employment data and inputs indicators into the NRF system. University department or team leading a BK21 education research group, responsible for submitting employment data and managing budget.",True,0.5140521335431364,True,True,41.0597 billion,True,826 million
BK21_deepseek_01_Inputs_initial_1,BK21,deepseek,BK21_deepseek_01,EarlyCareerResearcher:EarlyCareerResearcher,applicable,True,False,,applicable,True,0.7437200546264648,node_summary,ResearchScholarship:ResearchScholarship,"Monthly stipend paid to graduate students from BK21 project budget. Monthly stipend paid to graduate students: master's 700K, doctoral candidate 1M, doctoral 1.3M KRW per month. Monthly stipend paid to graduate students at specified minimum amounts. Monthly stipend paid to graduate students from the BK21 project budget. Monthly stipend paid to graduate students, with minimum amounts per degree level. Monthly stipend paid to graduate students and early career researchers from the BK21 project budget. Monthly stipend paid to graduate students and early career researchers. Monthly stipend paid to graduate students with minimum amounts per degree level.",False,0.43164809285833666,True,True,41.0597 billion,False,
BK21_deepseek_01_Inputs_initial_2,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,applicable,True,0.6970281004905701,node_summary,EducationResearchGroup:EducationResearchGroup,"University department or team leading a BK21 education research group at Hanyang University. University department or team leading a BK21 education research group, receiving project budget and managing participants. University department or team that receives BK21 project budget and manages scholarships and salaries. Research group that submits self-evaluation reports and is subject to performance consulting. University department or team leading a BK21 education research group that submits consulting reports and participates in performance consulting. University department or team that recommends participants for commendation and shares performance outcomes. A group that operates the BK21 program and is subject to compliance checks and potential contract termination. University department or team leading a BK21 education research group, subject to mid-term evaluation and compliance with program rules. University department or team leading a BK21 education research group, receiving funding and managing participants. University department or team leading a BK21 education research group; receives project budget and indirect costs. University department or team leading a BK21 education research group, selected through competitive evaluation. University department or team selected to lead a BK21 education research group in a specific academic field. University department or team leading a BK21 education research group, selected through competitive evaluation and receiving project budget. University department or team that submits employment data and inputs indicators into the NRF system. University department or team leading a BK21 education research group, responsible for submitting employment data and managing budget.",False,0.4096663859468152,True,True,41.0597 billion,False,
BK21_deepseek_01_Inputs_initial_3,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,applicable,True,0.7434895038604736,node_summary,ResearchScholarship:ResearchScholarship,"Monthly stipend paid to graduate students from BK21 project budget. Monthly stipend paid to graduate students: master's 700K, doctoral candidate 1M, doctoral 1.3M KRW per month. Monthly stipend paid to graduate students at specified minimum amounts. Monthly stipend paid to graduate students from the BK21 project budget. Monthly stipend paid to graduate students, with minimum amounts per degree level. Monthly stipend paid to graduate students and early career researchers from the BK21 project budget. Monthly stipend paid to graduate students and early career researchers. Monthly stipend paid to graduate students with minimum amounts per degree level.",False,0.44943739815346984,True,True,41.0597 billion,True,826 million
BK21_deepseek_01_Inputs_initial_4,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,applicable,True,0.7165440320968628,node_summary,EarlyCareerResearcher:EarlyCareerResearcher,"Postdoctoral or new researcher who can focus on education and research under the BK21 program. Postdoctoral or new researcher supported by BK21, receiving minimum salary of 3 million KRW per month. Postdoctoral or new researcher receiving minimum monthly salary from BK21. Postdoctoral or new researcher supported by BK21, participates in opinion-gathering meetings. Postdoctoral or new researcher supported by BK21, receiving salary and research support. Postdoctoral or new researcher supported by BK21 within the education research group. Postdoctoral or new researcher supported by BK21. Postdoctoral or new researcher supported by BK21, receiving minimum salary of 3M KRW/month.",False,0.41607384838898676,True,True,41.0597 billion,False,
BK21_deepseek_01_Inputs_revised_0,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,applicable,True,0.6634544134140015,node_summary,EducationResearchGroup:EducationResearchGroup,"University department or team leading a BK21 education research group at Hanyang University. University department or team leading a BK21 education research group, receiving project budget and managing participants. University department or team that receives BK21 project budget and manages scholarships and salaries. Research group that submits self-evaluation reports and is subject to performance consulting. University department or team leading a BK21 education research group that submits consulting reports and participates in performance consulting. University department or team that recommends participants for commendation and shares performance outcomes. A group that operates the BK21 program and is subject to compliance checks and potential contract termination. University department or team leading a BK21 education research group, subject to mid-term evaluation and compliance with program rules. University department or team leading a BK21 education research group, receiving funding and managing participants. University department or team leading a BK21 education research group; receives project budget and indirect costs. University department or team leading a BK21 education research group, selected through competitive evaluation. University department or team selected to lead a BK21 education research group in a specific academic field. University department or team leading a BK21 education research group, selected through competitive evaluation and receiving project budget. University department or team that submits employment data and inputs indicators into the NRF system. University department or team leading a BK21 education research group, responsible for submitting employment data and managing budget.",True,0.5140521335431364,True,True,41.0597 billion,True,826 million
BK21_deepseek_01_Inputs_revised_1,BK21,deepseek,BK21_deepseek_01,EarlyCareerResearcher:EarlyCareerResearcher,applicable,True,False,,applicable,True,0.7437200546264648,node_summary,ResearchScholarship:ResearchScholarship,"Monthly stipend paid to graduate students from BK21 project budget. Monthly stipend paid to graduate students: master's 700K, doctoral candidate 1M, doctoral 1.3M KRW per month. Monthly stipend paid to graduate students at specified minimum amounts. Monthly stipend paid to graduate students from the BK21 project budget. Monthly stipend paid to graduate students, with minimum amounts per degree level. Monthly stipend paid to graduate students and early career researchers from the BK21 project budget. Monthly stipend paid to graduate students and early career researchers. Monthly stipend paid to graduate students with minimum amounts per degree level.",False,0.43164809285833666,True,True,41.0597 billion,False,
BK21_deepseek_01_Inputs_revised_2,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,applicable,True,0.6970281004905701,node_summary,EducationResearchGroup:EducationResearchGroup,"University department or team leading a BK21 education research group at Hanyang University. University department or team leading a BK21 education research group, receiving project budget and managing participants. University department or team that receives BK21 project budget and manages scholarships and salaries. Research group that submits self-evaluation reports and is subject to performance consulting. University department or team leading a BK21 education research group that submits consulting reports and participates in performance consulting. University department or team that recommends participants for commendation and shares performance outcomes. A group that operates the BK21 program and is subject to compliance checks and potential contract termination. University department or team leading a BK21 education research group, subject to mid-term evaluation and compliance with program rules. University department or team leading a BK21 education research group, receiving funding and managing participants. University department or team leading a BK21 education research group; receives project budget and indirect costs. University department or team leading a BK21 education research group, selected through competitive evaluation. University department or team selected to lead a BK21 education research group in a specific academic field. University department or team leading a BK21 education research group, selected through competitive evaluation and receiving project budget. University department or team that submits employment data and inputs indicators into the NRF system. University department or team leading a BK21 education research group, responsible for submitting employment data and managing budget.",False,0.4096663859468152,True,True,41.0597 billion,False,
BK21_deepseek_01_Inputs_revised_3,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,applicable,True,0.7434895038604736,node_summary,ResearchScholarship:ResearchScholarship,"Monthly stipend paid to graduate students from BK21 project budget. Monthly stipend paid to graduate students: master's 700K, doctoral candidate 1M, doctoral 1.3M KRW per month. Monthly stipend paid to graduate students at specified minimum amounts. Monthly stipend paid to graduate students from the BK21 project budget. Monthly stipend paid to graduate students, with minimum amounts per degree level. Monthly stipend paid to graduate students and early career researchers from the BK21 project budget. Monthly stipend paid to graduate students and early career researchers. Monthly stipend paid to graduate students with minimum amounts per degree level.",False,0.44943739815346984,True,True,41.0597 billion,True,826 million
BK21_deepseek_01_Inputs_revised_4,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,applicable,True,0.7165440320968628,node_summary,EarlyCareerResearcher:EarlyCareerResearcher,"Postdoctoral or new researcher who can focus on education and research under the BK21 program. Postdoctoral or new researcher supported by BK21, receiving minimum salary of 3 million KRW per month. Postdoctoral or new researcher receiving minimum monthly salary from BK21. Postdoctoral or new researcher supported by BK21, participates in opinion-gathering meetings. Postdoctoral or new researcher supported by BK21, receiving salary and research support. Postdoctoral or new researcher supported by BK21 within the education research group. Postdoctoral or new researcher supported by BK21. Postdoctoral or new researcher supported by BK21, receiving minimum salary of 3M KRW/month.",False,0.41607384838898676,True,True,41.0597 billion,False,
