utterance_id,policy_id,model_id,scenario_uid,phase,round,persona_name,kg_role,deontic_status,machine_violation_applicable,machine_violation,machine_violation_reason,machine_grounded,machine_max_cosine,machine_fabrication_applicable,machine_fabricated,machine_derived_estimate,full_text,is_blind,suggested_violation,suggested_violation_reason,suggested_grounded,suggested_grounded_score,suggested_fabrication,suggested_fabrication_tokens,gold_violation,gold_grounded,gold_fabrication
100E_deepseek_01_Activities_revised_0,100E,deepseek,100E_deepseek_01,Activities,revised,Chen,AIResearcher:AIResearcher,applicable,TRUE,FALSE,,FALSE,0.227921297,TRUE,FALSE,FALSE,"Given the S$500 million total funding and 50 trainers, I estimate that the programme will conduct about 120 enterprise outreach sessions in the target year. This is based on a lean team of 50 trainers and the need to engage a broad base of enterprises across sectors. For researcher–enterprise pairings, I expect around 30 matchmaking events, as each event can pair multiple researchers with enterprise challenges, and the 100E programme aims to support many projects. Training workshops will be held about 40 times, leveraging the 50 trainers to deliver hands-on AI upskilling to enterprises and practitioners. Platform onboarding assists will be around 200, reflecting the need to help enterprises and researchers get onto the AI experimentation platform, with each assist being a technical session. These estimates align with my experience in industry-academia collaborations where such activities scale with available personnel and funding.",FALSE,FALSE,no_cue_found,FALSE,0,TRUE,"200,",,,
100E_deepseek_02_Outcomes_initial_2,100E,deepseek,100E_deepseek_02,Outcomes,initial,Rajesh,PolicyRole:AI for Public Good Principle,no_institutional_position_in_kg,FALSE,,,TRUE,0.329804919,TRUE,TRUE,FALSE,"From my perspective as a product manager in a health-tech startup working with the 100 Experiments programme, the prior phases show strong inputs and activities: S$500M funding, 1M GPU hours, 50 trainers, 30 outreach sessions, 15 matchmaking events, 20 workshops, and 100 onboarding assists. These led to 100 approved projects, 80 prototypes, 150 trainees, and 60 enterprises with solutions. For outcomes, I estimate 50 deployed projects because many prototypes need further refinement, integration, and validation before going live, especially in healthcare where real-world testing is critical. The AI practitioner pool is growing but not yet at 15,000; with 150 trainees completing and existing practitioners, I estimate around 12,000. The generative AI use cases target of 100 in 100 days is ambitious; based on 80 prototypes and typical conversion rates, I estimate 80 use cases. Enterprise AI adoption rate is around 25%, as many SMEs are still early in their AI journey despite programmes like 100E and CTO-as-a-Service. I see that A (noz9oi) and Mei (PolicyRole) have posted similar estimates, and my independent reasoning from the health-tech sector and 100E experience leads to the same conclusions.",FALSE,FALSE,no_cue_found,FALSE,0.019,TRUE,"12,000",,,
100E_deepseek_04_Impact_initial_1,100E,deepseek,100E_deepseek_04,Impact,initial,I (7iieke),AIPractitioner:AIPractitioner,applicable,TRUE,FALSE,,TRUE,0.275295143,TRUE,TRUE,FALSE,"As a computer vision engineer working on urban AI solutions, I see the Impact phase reflecting the cumulative effect of the programme's inputs, activities, outputs, and outcomes. The S$500M investment, 500K GPU hours, and 50 trainers have driven 45 outreach sessions, 22 matchmaking events, 35 workshops, and 110 onboarding assists, leading to 100 approved projects, 70 prototypes, 60 trainees, and 80 enterprises with solutions. From these, 50 projects reached production, the practitioner pool grew to 12,000, 80 gen AI use cases were created, and enterprise adoption reached 25%. These solid but not stellar results mean Singapore's global AI readiness rank likely stays around 6th, as other nations also invest heavily. The AI sector's GDP share rises modestly to 3.5%, reflecting early-stage deployments. Public trust remains moderate at 55%, as high-profile incidents and ethical concerns temper enthusiasm. AI talent retention is strong at 70%, given attractive opportunities, but global competition still draws some away. My estimates align closely with Dr. (yaerd4)'s, as my hands-on experience with deployment hurdles and trust issues in smart city projects confirms these conservative but realistic numbers.",FALSE,TRUE,own_duty_negation_in_clause,FALSE,0,TRUE,"12,000,; 3.5",,,
100E_deepseek_06_Outputs_revised_1,100E,deepseek,100E_deepseek_06,Outputs,revised,A (9yja6b),AIPractitioner:AIPractitioner,applicable,TRUE,FALSE,,FALSE,0.244697068,TRUE,TRUE,FALSE,"As a junior AI engineer who went through the AIAP, I see the 100E programme as well-resourced with S$500M, S$330K co-funding, 500K GPU hours, and 50 trainers. With 70 outreach sessions and 25 matchmaking events, I expect about 80 projects to be approved—close to the 100 target but filtered by feasibility. Not all approved projects will yield prototypes; based on my experience with iterative development, I estimate 60 prototypes built. The AIAP, with 35 workshops and 90 onboarding assists, can train around 120 individuals, assuming each workshop trains 3-4 people with some attrition. Enterprises with at least one AI solution will be about 70, as some may have multiple projects but not all will reach deployment. Priya's estimates align closely with mine, and I agree with her reasoning about attrition and deployment challenges.",TRUE,,,,,,,,,
100E_deepseek_06_Outcomes_revised_0,100E,deepseek,100E_deepseek_06,Outcomes,revised,A (9yja6b),AIPractitioner:AIPractitioner,applicable,TRUE,FALSE,,TRUE,0.283492358,TRUE,TRUE,FALSE,"As a junior AI engineer who went through the AIAP, I see the 100E programme as well-resourced with S$500M, S$330K co-funding, 500K GPU hours, and 50 trainers. With 70 outreach sessions and 25 matchmaking events, about 80 projects were approved, consistent with the prior phase. However, not all prototypes reach production deployment due to integration challenges and validation requirements; based on my experience, I estimate 50 of the 60 prototypes will be deployed. The AI practitioner pool is approaching the 15,000 target, but with 120 trainees completing the programme and existing practitioners, I estimate 14,000. The AI Trailblazers programme likely generated around 90 generative AI use cases in 100 days, slightly below the target due to onboarding delays. Enterprise AI adoption rate is around 25%, as many SMEs are still in early stages of adoption despite the programme's efforts.",FALSE,FALSE,no_cue_found,FALSE,0.0424,TRUE,"14,000",,,
100E_deepseek_07_Outputs_initial_3,100E,deepseek,100E_deepseek_07,Outputs,initial,Wei (sksfrg),PolicyRole:AI for Public Good Principle,no_institutional_position_in_kg,FALSE,,,FALSE,0.217258829,TRUE,TRUE,FALSE,"From my perspective as a product manager at a fintech startup that has gone through the 100E programme, the outputs phase must reflect the practical constraints of the prior phases. The S$500M total funding and S$330K co-funding cap are strong incentives, but the limited GPU hours (500,000) and trainer count (150) constrain throughput. The activities phase estimates 60 outreach sessions, 10 matchmaking events, 40 workshops, and 150 onboarding assists, which I believe are sufficient to generate high-quality proposals without overstretching resources. Given these inputs and activities, I estimate 42 approved 100E projects—this is slightly higher than A's 40 because I think the strong funding and focused outreach will attract more viable proposals, but lower than Siti's 45 because trainer capacity and compute limits prevent a higher number. For AI prototypes, I estimate 28, as not all approved projects will complete a prototype within 2023 due to technical challenges and compute constraints; Siti's 30 seems optimistic given the shared GPU pool. For trainees, I estimate 110 completions from the 9-month programme, assuming a 1:10 trainer-to-trainee ratio and some attrition; Siti's 120 is plausible but my lower trainer count makes 110 more realistic. For enterprises with a solution, I estimate 35, as some enterprises may have multiple projects but not all will reach a deployable stage; A's 30 is too conservative given the outreach efforts, while Siti's 40 is slightly high. I disagree with A's lower estimates because they underestimate the impact of the strong funding and outreach, but I also temper Siti's optimism with resource constraints.",FALSE,TRUE,exclusive_vocab_claim:100ExperimentsProgramme,FALSE,0,TRUE,"500,000; 28,; 35,",,,
100E_deepseek_07_Activities_initial_3,100E,deepseek,100E_deepseek_07,Activities,initial,Dr. (t81jt1),AIResearcher:AIResearcher,applicable,TRUE,FALSE,,FALSE,0.201074799,TRUE,FALSE,FALSE,"As an AI researcher leading a lab at NUS, I see the S$500M total funding and S$330K co-funding cap as strong incentives for enterprise engagement. My experience with SMEs shows they need substantial outreach to understand AI possibilities, but not so many sessions that quality suffers. I estimate 75 outreach sessions—more than Wei's 60 but less than Dr. A's 80—because we need to cover diverse sectors like healthcare and logistics without overwhelming trainers who also handle administrative tasks. For matchmaking, 11 events (between Wei's 10 and Dr. A's 12) allow focused pairings of researchers with enterprise challenges, ensuring deep collaboration rather than superficial matches. Training workshops at 45 (midpoint of 40 and 50) leverage the trainer pool while maintaining quality; from my experience, hands-on workshops with smaller groups are more effective for AI adoption. Platform onboarding assists at 170 (between 150 and 200) reflect that many enterprises need technical support to use AI tools, but not all require extensive help—some have digital maturity. I disagree with Dr. A's higher estimates because they risk spreading trainers too thin, and with Wei's lower estimates because they may miss opportunities to engage a broader enterprise base, especially SMEs that need more guidance.",FALSE,FALSE,no_cue_found,FALSE,0.0056,,,,,
100E_deepseek_09_Outcomes_revised_1,100E,deepseek,100E_deepseek_09,Outcomes,revised,A (6tks25),AIPractitioner:AIPractitioner,applicable,TRUE,FALSE,,TRUE,0.294820457,TRUE,TRUE,FALSE,"From my experience as an AIAP graduate working in a health-tech startup, I see the 100E programme's outputs as realistic but constrained. The prior phases showed 80 approved projects, and I estimate about half (40) will reach production deployment in 2023. This aligns with Mei's estimate and my own observation that many enterprises face integration challenges and data quality issues that delay deployment beyond prototype stage. The AI practitioner pool is likely around 12,000, approaching but not yet hitting the 15,000 target, as the 120 trainees from the programme add to the existing base but broader upskilling takes time. For generative AI use cases, the AI Trailblazers programme's target of 100 in 100 days is ambitious but achievable given free tools and focused effort, so I estimate 100 use cases created. The enterprise AI adoption rate is around 25%, reflecting that while programmes like 100E and SMEs Go Digital have raised awareness, many small and medium enterprises are still in early stages of adoption, consistent with my own journey.",FALSE,TRUE,own_duty_negation_in_clause,FALSE,0.0199,TRUE,"12,000,",,,
100E_deepseek_09_Outcomes_initial_1,100E,deepseek,100E_deepseek_09,Outcomes,initial,A (6tks25),AIPractitioner:AIPractitioner,applicable,TRUE,FALSE,,TRUE,0.294820457,TRUE,TRUE,FALSE,"From my experience as an AIAP graduate working in a health-tech startup, I see the 100E programme's outputs as realistic but constrained. The prior phases showed 80 approved projects, and I estimate about half (40) will reach production deployment in 2023. This aligns with Mei's estimate and my own observation that many enterprises face integration challenges and data quality issues that delay deployment beyond prototype stage. The AI practitioner pool is likely around 12,000, approaching but not yet hitting the 15,000 target, as the 120 trainees from the programme add to the existing base but broader upskilling takes time. For generative AI use cases, the AI Trailblazers programme's target of 100 in 100 days is ambitious but achievable given free tools and focused effort, so I estimate 100 use cases created. The enterprise AI adoption rate is around 25%, reflecting that while programmes like 100E and SMEs Go Digital have raised awareness, many small and medium enterprises are still in early stages of adoption, consistent with my own journey.",FALSE,TRUE,own_duty_negation_in_clause,FALSE,0.0199,TRUE,"12,000,",,,
100E_deepseek_10_Activities_initial_1,100E,deepseek,100E_deepseek_10,Activities,initial,A (fys7i5),AIPractitioner:AIPractitioner,applicable,TRUE,FALSE,,FALSE,0.258782606,TRUE,TRUE,FALSE,"From my perspective as an AI practitioner in a digital bank, the inputs of S$500 million, 200 trainers, and 5 million GPU hours provide a strong foundation for the Activities phase. Given the explicit policy goal of generating 100 generative AI use cases in 100 days and the 100E programme targeting enterprise problem statements, I estimate 80 enterprise outreach sessions. This aligns with Asha's estimate and reflects a realistic pace of 1-2 sessions per week to engage diverse sectors. For researcher matchmaking, 20 events seem appropriate to pair researchers with enterprise challenges, leveraging the trainer pool and compute resources. Training workshops are estimated at 100, which matches Asha's figure, as 200 trainers can conduct multiple workshops to upskill enterprises and practitioners. Platform onboarding assists at 150 are reasonable, assuming each of the 100E projects requires 1-2 sessions, plus additional support for other initiatives. My estimates are grounded in the resource logic and my experience with enterprise AI adoption, where such activities are typical for scaling AI solutions.",TRUE,,,,,,,,,
