scenario_uid,persona_name,entity_name,professional_persona,flag_policyrole,kg_role,mislabel_source
BK21_deepseek_03,대전의,Education Research Group Participants and Graduate Innovation Practitioners | KG-Gen-yvztnfa4,"대전의 이공계 특성화 대학에서 생명과학 박사 과정을 밟고 있으며, BK21 미래인재양성사업 지원을 받아 유전체 연구를 수행 중입니다. 대학원 혁신 실무자로서 온라인 간담회에 참석하여 교육환경 개선 의견을 제시하고 있습니다.",True,GraduateStudent:GraduateStudent,policyrole_merged
BK21_deepseek_04,경북,Education Research Group Participants and Graduate Innovation Practitioners | KG-Gen-vz75cxmj,"경북 지역 사립대학에서 컴퓨터공학 박사 과정을 밟고 있으며, BK21 혁신인재양성사업의 지원을 받아 인공지능 기반 의료 영상 분석 연구를 수행 중입니다. 대학원 혁신 간담회에 정기적으로 참여하여 연구 환경 개선을 논의합니다.",True,GraduateStudent:GraduateStudent,policyrole_merged
BK21_deepseek_04,광주,Education Research Group Participants and Graduate Innovation Practitioners | KG-Gen-az5vzha6,"광주 소재 국립대학에서 전자공학 석사 과정에 재학 중이며, BK21 교육연구단의 일원으로 반도체 회로 설계 연구를 하고 있습니다. 매달 70만 원의 장학금을 받으며, 대학원생 권리 보호 교육을 수료했습니다.",True,GraduateStudent:GraduateStudent,policyrole_merged
BK21_deepseek_05,전북,Education Research Group Participants and Graduate Innovation Practitioners | KG-Gen-lyy6403p,"전북 지역 국립대학에서 농업경제학 석사 과정에 재학 중이며, BK21 교육연구단 소속으로 스마트팜 경제성 분석 연구를 진행하고 있습니다. 월 70만 원의 장학금을 수령하며, 대학원 혁신 실무자 모임에 참여하여 의견을 개진합니다.",True,GraduateStudent:GraduateStudent,policyrole_merged
BK21_deepseek_06,충남,Education Research Group Participants and Graduate Innovation Practitioners | KG-Gen-ujqihktv,"충남 소재 사립대학에서 신소재공학 박사 과정을 밟고 있으며, BK21 미래인재양성사업의 교육연구단에 참여하여 나노소재 합성 연구를 수행 중입니다. 온라인 간담회에 참석하여 대학원생 처우 개선에 대한 의견을 적극적으로 제시합니다.",True,GraduateStudent:GraduateStudent,policyrole_merged
BK21_deepseek_08,제주,Education Research Group Participants and Graduate Innovation Practitioners | KG-Gen-gj3ho8qy,"제주 지역 국립대학에서 환경공학 석사 과정에 재학 중이며, BK21 혁신인재양성사업의 지원을 받아 해양 미세플라스틱 오염 연구를 수행 중입니다. 대학원 혁신 실무자로서 온라인 간담회에 참석하여 연구비 지원 확대를 요청합니다.",True,GraduateStudent:GraduateStudent,policyrole_merged
BK21_deepseek_09,부산 (fjenok),Education Research Group Participants and Graduate Innovation Practitioners | KG-Gen-fjenokno,"부산 지역 국립대학교 기계공학과 석사과정에 재학 중이며, BK21 혁신인재양성사업 교육연구단의 석사연구원으로 월 70만 원의 장학금을 받고 있다. 대학원 혁신 실무자로서 온라인 간담회에 참석하여 학내 연구 환경 개선 의견을 제시하고 있다.",True,GraduateStudent:GraduateStudent,policyrole_merged
BK21_deepseek_16,전남대학교 (t9hx6h),Education Research Group Participants and Graduate Innovation Practitioners | KG-Gen-t9hx6hhr,"전남대학교 의과대학 의학과 석·박사 통합과정에 재학 중이며, 신경과학 연구실에서 뇌영상 데이터를 분석하고 있습니다. BK21 미래인재양성사업의 지원을 받아 연구에 몰두하고 있습니다.",True,GraduateStudent:GraduateStudent,policyrole_merged
BK21_deepseek_19,서울대학교 (hohvrm),Education Research Group Participants and Graduate Innovation Practitioners | KG-Gen-hohvrm8q,"서울대학교 사범대학 교육학과 박사과정에 재학 중이며, 고등교육 정책과 대학원생 인권을 연구하고 있습니다. BK21 사업의 의무 온라인 교육 과정을 직접 이수하고 관련 정책 제안에도 참여하고 있습니다.",True,GraduateStudent:GraduateStudent,policyrole_merged
BK21_deepseek_20,부산 (uikzet),Education Research Group Participants and Graduate Innovation Practitioners | KG-Gen-uikzetg7,"부산 지역 사립대학에서 기계공학 박사과정에 재학 중이며, BK21 혁신인재양성사업의 지원을 받고 있습니다. 스마트 제조 공정 자동화 연구를 수행하며 매달 130만 원의 장학금을 받고 있습니다.",True,GraduateStudent:GraduateStudent,policyrole_merged
BK21_deepseek_25,강원 (hjnil4),Education Research Group Participants and Graduate Innovation Practitioners | KG-Gen-hjnil4mp,"강원 지역 국립대학교에서 신소재공학 석사과정을 밟고 있으며, BK21 교육연구단에 속해 에너지 저장 소재 연구를 하고 있습니다. 매달 70만 원의 연구장학금을 받으며 생활하고 있습니다.",True,GraduateStudent:GraduateStudent,policyrole_merged
BK21_deepseek_29,대전에 (4jz5bd),Education Research Group Participants and Graduate Innovation Practitioners | KG-Gen-4jz5bd39,"대전에 위치한 이공계 특성화대학에서 생명과학 석사과정을 밟고 있으며, 줄기세포 분화 연구에 매진하고 있습니다. 대학원 혁신을 위한 온라인 회의에 참여하여 교과과정 개편 의견을 내는 데 적극적입니다.",True,GraduateStudent:GraduateStudent,policyrole_merged
BK21_deepseek_33,전북 (l8t867),Education Research Group Participants and Graduate Innovation Practitioners | KG-Gen-l8t867zp,"전북 전주 소재 사립대학교에서 신소재공학 박사과정을 밟고 있으며, 차세대 배터리 소재 연구를 수행하고 있습니다. 온라인 미팅에서 지역 대학원생의 연구 장비 접근성 향상 방안을 제안합니다.",True,GraduateStudent:GraduateStudent,policyrole_merged
