scenario_uid,persona_name,entity_name,professional_persona,flag_policyrole,kg_role,mislabel_source
100E_gemini_01,A,AI for Public Good Principle | KG-Gen-20wynvt5,A mid-career engineer at a local manufacturing SME who wants to automate quality inspection using computer vision. He is eager to apply for the 100 Experiments programme to co-develop a custom AI solution.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_02,A (wcncue),AI for Public Good Principle | KG-Gen-wcncue0g,A founder of a health-tech startup that uses AI to predict patient deterioration from wearable data. She is participating in the AI Trailblazers programme to prototype a generative AI dashboard for clinicians.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_02,A (av2aw3),AI for Public Good Principle | KG-Gen-av2aw33c,A mid-level manager in a logistics company who recently led a pilot using AI for route optimization. He wants to expand the project under the 100E programme with help from AISG researchers.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_02,A (ije1ki),AI for Public Good Principle | KG-Gen-ije1kims,A public sector data scientist at a statutory board who works on AI projects for citizen services. She is seconded to an industry partnership under the Digital Leaders Programme to co-create a chatbot for elderly care.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_03,A (46utf8),AI for Public Good Principle | KG-Gen-46utf82f,A career switcher who completed the AI Apprenticeship Programme (AIAP) and now works as a junior AI engineer in a fintech firm. He is passionate about using AI for financial inclusion.,True,PolicyRole:AI for Public Good Principle,
100E_gemini_04,A (x11duv),AI for Public Good Principle | KG-Gen-x11duv19,A senior retail executive at a fashion chain that is using AI for demand forecasting and personalised recommendations. She is exploring the CTO-as-a-Service scheme to accelerate adoption.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_05,A (gulsym),AI for Public Good Principle | KG-Gen-gulsymgp,A researcher at a local university who specializes in resource-efficient AI and is collaborating with an SME on an industry challenge through the 100E programme. He values applied research that translates to real-world impact.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_06,A (9jekw7),AI for Public Good Principle | KG-Gen-9jekw7vq,A freelance AI consultant who helps small businesses adopt generative AI tools for marketing and customer service. She joined the AI Trailblazers programme to expand her portfolio.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_06,An,AI for Public Good Principle | KG-Gen-r40bxwiv,An operations director at a food manufacturing company that wants to use AI for predictive maintenance and yield optimization. He is interested in the 100E programme because off-the-shelf solutions do not fit his plant's legacy equipment.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_06,A (9el8ig),AI for Public Good Principle | KG-Gen-9el8igqh,"A fresh graduate from a polytechnic who completed a Company-Led Training Programme in AI and now works as a junior data analyst in a logistics startup. She is keen to contribute to projects that serve the public good, such as reducing food waste.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_07,A (8bsphz),AI for Public Good Principle | KG-Gen-8bsphz67,"A mid-career professional in the financial sector, she leads a team exploring AI-driven fraud detection and personalised banking. She believes AI can make banking more inclusive and secure for all Singaporeans.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_08,A (xnjfie),AI for Public Good Principle | KG-Gen-xnjfiewz,"A founder of a health-tech startup, he develops AI tools to predict disease outbreaks and optimise hospital resources. He is passionate about using AI to improve public health outcomes in Singapore.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_08,A (5vnko5),AI for Public Good Principle | KG-Gen-5vnko5z6,"A senior engineer at a government agency, she oversees AI projects for smart city initiatives like traffic management and waste optimisation. She is driven by the vision of a liveable, sustainable Singapore.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_09,A (eip30b),AI for Public Good Principle | KG-Gen-eip30bow,"A mid-level manager in a logistics SME, he is responsible for digital transformation. He sees AI as a way to optimise delivery routes and reduce costs, but worries about staff retraining.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_09,A (pppglw),AI for Public Good Principle | KG-Gen-pppglwi4,"A recent graduate from a local polytechnic, she works as a junior AI developer in a retail analytics firm. She is excited by generative AI's potential to personalise customer experiences.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_10,A (u3uk8z),AI for Public Good Principle | KG-Gen-u3uk8zye,"A non-executive director of a manufacturing co-operative, he advocates for AI-driven predictive maintenance to reduce downtime. He is mindful of the need to reskill older workers.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_11,A,AI for Public Good Principle | KG-Gen-soa2e51s,"A freelance AI ethicist and consultant, she advises companies on fair and transparent AI systems. She is committed to ensuring that AI serves the public good and does not entrench bias.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_12,A (m7mxhn),AI for Public Good Principle | KG-Gen-m7mxhnat,"A mid-career professional who switched from teaching to AI after completing a SkillsFuture bootcamp, he now works as an AI trainer for a retail chain. He is passionate about lifelong learning and AI literacy.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_12,A (3fya4l),AI for Public Good Principle | KG-Gen-3fya4l6u,"A research scientist at A*STAR, she works on resource-efficient AI models to reduce computing costs. She is motivated by making AI accessible to smaller organisations in Singapore.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_13,A (rg8l4j),AI for Public Good Principle | KG-Gen-rg8l4jst,"A senior product manager at a multinational tech firm's Singapore office, she drives the localisation of AI products for Southeast Asian markets. She believes Singapore can be a test bed for responsible AI innovation.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_13,A (y0h1nm),AI for Public Good Principle | KG-Gen-y0h1nmuv,A mid-career professional who transitioned from finance to AI after completing a Company-Led Training Programme under TeSA. Now working as an AI analyst in an enterprise that joined the 100 Experiments programme.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_14,A (5cg9u1),AI for Public Good Principle | KG-Gen-5cg9u14o,A seasoned IT director in a manufacturing SME that participated in the SMEs Go Digital programme. He championed the adoption of an AI-driven predictive maintenance system.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_15,A (d0vo4q),AI for Public Good Principle | KG-Gen-d0vo4q7h,A data scientist who joined the AI Apprenticeship Programme (AIAP) after graduating with a master's in data science. She is now seconded to a healthcare startup via the 100 Experiments programme.,True,PolicyRole:AI for Public Good Principle,
100E_gemini_16,An,AI for Public Good Principle | KG-Gen-xf51b0iq,An entrepreneur who founded a logistics tech startup that received co-funding through the 100 Experiments programme. He is a vocal advocate for AI for public good in urban mobility.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_17,A (ezyyi6),AI for Public Good Principle | KG-Gen-ezyyi6t2,"A public sector policy manager in the Smart Nation group, leading cross-agency pilots that use AI to improve citizen services. She participated in the targeted AI courses for public officers.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_17,A (zj3fp4),AI for Public Good Principle | KG-Gen-zj3fp451,A mid-level engineer in a local bank that joined the AI Trailblazers programme to prototype generative AI for customer service. He is keen on responsible AI deployment.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_18,A (l8p4x2),AI for Public Good Principle | KG-Gen-l8p4x2d2,A research scientist at a local university who collaborates with industry under the 100 Experiments programme on resource-efficient AI models for agriculture.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_18,A (4acc2k),AI for Public Good Principle | KG-Gen-4acc2kx8,A career switcher in his 40s who completed a Career Conversion Programme into AI and now works as an AI implementation specialist for a retail chain.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_19,A (e5ptix),AI for Public Good Principle | KG-Gen-e5ptix7m,"A fresh graduate who joined a digital native company through the Digital Leaders Programme, working on an AI project scoped with a solution provider for sustainability reporting.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_19,A (8sjb1l),AI for Public Good Principle | KG-Gen-8sjb1lps,A senior technologist in a government-linked company that co-organised an ideathon to identify AI use cases for elderly care. He volunteers with AISG to mentor startups.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_20,A (n7dzed),AI for Public Good Principle | KG-Gen-n7dzed3t,"A mid-career professional in a local SME that manufactures precision components, I am exploring how AI can optimise our supply chain and reduce waste. I joined a government-facilitated hackathon to learn from researchers and identify a practical use case for our factory floor.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_21,A,AI for Public Good Principle | KG-Gen-ugc03u2b,"A recent computer science graduate from NUS, I joined the AI Apprenticeship Programme (AIAP) to work on a real-world project with a fintech startup. I am passionate about building AI systems that are transparent and beneficial to everyday users.",True,PolicyRole:AI for Public Good Principle,
100E_gemini_21,I,AI for Public Good Principle | KG-Gen-mhcih42h,"I run a small social enterprise that provides elderly care services, and I am eager to use AI to improve care coordination and detect early signs of health decline. I recently participated in a CTO-as-a-Service clinic to scope a simple AI project for my organisation.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_22,A (kn3ru2),AI for Public Good Principle | KG-Gen-kn3ru28e,"A data scientist at a multinational bank, I am seconded to a cross-industry 100 Experiments project that aims to detect money laundering patterns with privacy-preserving AI. I value the chance to collaborate with public researchers and share data responsibly.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_23,A (sdjchg),AI for Public Good Principle | KG-Gen-sdjchgz0,"A mid-level manager in a logistics company, I am championing the adoption of AI route optimisation to reduce fuel consumption and delivery times. I attend industry workshops organised by TeSA to upskill my team in data analytics.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_23,A (0cjivp),AI for Public Good Principle | KG-Gen-0cjivp5a,"A senior researcher at A*STAR specialising in computer vision, I am collaborating with a retail chain on a 100 Experiments project to reduce food waste through smart inventory monitoring. I believe research should translate into tangible public benefits.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_24,A (vo0dga),AI for Public Good Principle | KG-Gen-vo0dgaaw,"A career-switcher in my late 40s, I previously worked in retail and am now retraining as an AI technician through a SkillsFuture-supported programme. I want to help small businesses deploy simple AI tools like chatbots for customer service.",True,PolicyRole:AI for Public Good Principle,
100E_gemini_25,A (9fys0d),AI for Public Good Principle | KG-Gen-9fys0d1y,"A product manager at a health-tech startup, I am leading the development of an AI-powered triage tool for polyclinics, co-funded under the 100 Experiments programme. I am driven by the vision of AI for public good in healthcare.",False,PolicyRole:AI for Public Good Principle,
