heuristic_bucket_guess,utterance_id,policy_id,model_id,scenario_uid,unsupported_tokens,full_text
a_arithmetic_cue_nearby,100E_deepseek_25_Outputs_initial_0,100E,deepseek,100E_deepseek_25,"500; 800,000","Given the inputs of S$500M total funding and S$330K co-funding per project, along with my estimates of 800,000 GPU hours and 40 trainers, the activities phase produced moderate outreach (60 sessions), matchmaking (8 events), workshops (20), and onboarding assists (150). These activities are designed to support quality over quantity. I estimate that 85 out of the targeted 100 projects will be approved, as the lean team and compute resources may not fully process all applications in 2023. From these, about 70 AI prototypes will be developed, considering some projects may stall or require more time. The training programme, with 20 workshops and 40 trainers, will likely see 120 trainees complete, given the ambitious target of 15,000 practitioners but the early-stage nature of the programme. Finally, around 65 enterprises will have at least one AI solution, as some projects may not reach deployment within the year. I disagree with any higher estimates that assume full capacity utilization, as my experience in product management shows that early-stage programmes often underdeliver on initial targets."
a_arithmetic_cue_nearby,100E_deepseek_31_Inputs_initial_4,100E,deepseek,100E_deepseek_31,"500,000","As a mid-level researcher focused on low-resource language AI, I see the S$500 million total funding as a strong commitment from the government, consistent with the policy context. The S$330,000 co-funding cap per 100E project is reasonable for many industry collaborations, but from my experience building dialect translation systems, hardware-intensive projects often require more. The 500,000 GPU hours seem modest given the demand from both research and industry; my team has faced queue times for cloud compute, and I worry this will slow down experimentation. The 50 trainers are a bottleneck—during my AIAP mentoring, I saw mentors stretched thin, and scaling to more enterprises will be challenging. I agree with Dr. (1d7txq) and A (efg4xc) that scalability is a concern, especially for compute and training capacity. My estimates align with the other participants because the policy context explicitly states these figures, and my personal experience confirms they are plausible."
a_arithmetic_cue_nearby,BK21_deepseek_04_Outcomes_revised_0,BK21,deepseek,BK21_deepseek_04,"19,000; 1,200; 84.2%; 3,800; 19,000; 85%","As the head of an education research group in new materials engineering at Hanyang University, I see the outcomes phase as the direct result of the inputs, activities, and outputs phases. With 19,000 graduate students and 1,200 postdocs supported, and the full budget disbursed, the program is now producing measurable outcomes. The employment rate of BK21 participants within one year of graduation is estimated at 84.2%, based on the policy's target of increasing by 0.3% per year from a baseline of 86.7% (2010-2012 average), but adjusted downward due to the declining trend noted in the policy context and the fact that 2022 is still early in the program. The international collaboration rate is estimated at 20%, reflecting that about 3,800 participants (20% of 19,000) are involved in international research collaborations, supported by the program's internationalization expenses and conference support, but constrained by travel restrictions and budget limits. The full-time faculty lecture ratio is estimated at 85%, as the program incentivizes hiring full-time faculty for graduate courses, improving educational quality and mentoring. The evaluation and consulting feedback loops (280 consulting sessions, 3 evaluation panels) help groups improve their performance, but the impact is gradual. My estimates are conservative, reflecting my experience that not all participants are equally productive or collaborative."
a_arithmetic_cue_nearby,BK21_deepseek_07_Outputs_revised_3,BK21,deepseek,BK21_deepseek_07,"57,000; 19,000; 1,200; 9,500","As a sociology doctoral student at a university in Incheon, I am part of a BK21 humanities and social sciences education research group. From my own experience and observing peers, each graduate student typically produces about 3 publications per year (including co-authored papers), and each postdoc about 5. However, considering that not all slots are filled at the start of the year and some students are in early stages, I conservatively estimate an average of 3 publications per supported participant overall, yielding 57,000 publications. For international conference presentations, about half of the participants attend at least one international conference per year, so with 19,000 graduate students and 1,200 postdocs, that gives roughly 9,500 presentations. These estimates align with the other participants' posts, which use similar reasoning based on direct experience in the program. I see no reason to deviate from these numbers given my direct experience in the program."
a_arithmetic_cue_nearby,BK21_deepseek_10_Outputs_revised_1,BK21,deepseek,BK21_deepseek_10,60%,"As the head of an education research group in advanced semiconductor engineering at a university in Daejeon, I see the outputs phase as the direct result of the funding and activities we've set up. With 250 graduate scholarship slots and 40 postdoc positions funded, these are the active participants in 2022. Based on my lab's experience, each graduate student typically produces 2-3 publications per year, and each postdoc produces 3-4, but not all are BK21-funded. I estimate an average of 2.5 publications per graduate student and 3.5 per postdoc, yielding about 625 from students and 140 from postdocs, but some are co-authored, so total unique publications around 625. For international conferences, about 60% of our lab presents at one per year, so 250*0.6=150 from students and 40*0.8=32 from postdocs, totaling ~175. These numbers are conservative because not all groups are as productive as mine, and some students are in early stages. The policy's mandatory reporting ensures compliance, but I've seen some groups underreport. The prior phases' estimates of 250 slots and 40 postdocs are solid, and the activities phase shows funds disbursed and evaluations conducted, which should keep groups on track. I note that the early career researcher estimated 750 publications and 200 conference presentations, which seems high based on my experience; I think 625 and 175 are more realistic given the mix of groups and stages."
a_arithmetic_cue_nearby,BK21_deepseek_11_Inputs_initial_1,BK21,deepseek,BK21_deepseek_11,"36 million; 1,000","As an early-career researcher at Hanyang University's BK21 program, I estimate the total funding allocated based on the policy context: the total support budget for 577 education research groups is 408,080 million KRW, but this includes carryover and evaluation management. The direct project budget for education research groups is 355,151 million KRW, which I take as the total funding allocated to Hanyang's BK21 program. For graduate scholarship slots, the policy states about 12,600 per year in future talent training and 6,400 in innovative talent training, totaling 19,000 slots nationally. Hanyang, being a major institution, likely gets a proportional share, but I use the national total as a proxy for the program's scale. For postdoc positions, the policy mentions early-career researchers receive a minimum salary of 3 million KRW per month, and with a total budget of 355,151 million KRW, assuming an average postdoc salary of 36 million KRW per year, the number of postdoc positions is roughly 1,000 nationally, scaled to Hanyang's share. My estimates are grounded in the policy's resource logic and my experience managing a research group. I note that the prior participant (광주) provided similar estimates, which aligns with my own reasoning, but I confirm them independently based on my direct involvement in the program."
a_arithmetic_cue_nearby,BK21_deepseek_15_Outcomes_revised_4,BK21,deepseek,BK21_deepseek_15,"19,000; 28,500; 5,700; 85%","As an early-career researcher in geology at Kangwon National University, I see the outcomes phase as a direct result of the fixed inputs, activities, and outputs. With 19,000 graduate slots and 577 postdoc positions fully funded, and with 28,500 publications and 5,700 international conference presentations produced, the international collaboration rate is naturally high because many of those presentations and co-authored papers involve international partners. The policy's support for international conferences and collaboration incentives directly boosts this rate. For employment, the strong network built through industry collaborations and the reputation of the BK21 program, combined with the training and mentoring from full-time faculty (who now deliver about 85% of lecture hours, up from lower ratios due to the program's emphasis on full-time faculty), leads to a high employment rate of about 86.8% within one year of graduation. This is consistent with the policy's target of increasing employment rate by 0.3% per year from a baseline of 86.7% (2010-2012 average), and given the current economic conditions, I estimate a slight improvement to 86.8%. The evaluation and consulting feedback loops ensure that groups with lower performance receive targeted consulting, which improves their outcomes over time. I note that other participants have posted similar estimates, and I agree with their reasoning because it aligns with my own experience as a funded researcher."
a_arithmetic_cue_nearby,BK21_deepseek_17_Inputs_revised_4,BK21,deepseek,BK21_deepseek_17,7 billion; 10 billion; 8 billion; 1.2 billion; 15%; 432,"As a doctoral researcher at Jeju National University, I see Hanyang University's BK21 allocation from a regional perspective. The total budget for education research groups is 355,151 million KRW for 577 groups, averaging about 615 million KRW per group. Hanyang likely has around 10-12 groups, so roughly 6-7 billion KRW for group budgets. Adding graduate innovation support (52,896 million KRW across 20 universities, Hanyang's share maybe 2.6 billion) gives about 8-10 billion KRW total. I estimate 8 billion KRW as a reasonable midpoint. For graduate slots, with average stipend ~1M KRW/month per student, a scholarship budget of about 1.2 billion KRW (15% of total) supports 100 slots (100*12M=1.2B). Postdoc positions: each costs 36M/year minimum salary, so 12 positions cost 432M KRW, fitting within the remaining budget. Other participants' estimates (120 slots, 15 postdocs) seem slightly high given Hanyang's typical group size and budget constraints; my experience suggests 100 slots and 12 postdocs are more realistic for a single year."
a_arithmetic_cue_nearby,BK21_deepseek_18_Activities_initial_4,BK21,deepseek,BK21_deepseek_18,12 billion,"As an early-career researcher at Hankuk University of Foreign Studies, I see the BK21 funds flowing from the Ministry through the NRF to Hanyang University. The 70% March / 30% September schedule is standard and efficient, so I expect the full 12 billion KRW allocated to Hanyang to be disbursed. Evaluation panels are convened for three formal meetings per year (annual, mid-term, compliance) as per policy. Consulting sessions are offered to groups that request them; with 280 sessions nationally for 578 groups, Hanyang's 15 groups proportionally receive about 7 sessions. Compliance checks target the 205 innovative talent training groups; Hanyang likely has about 15 such groups, so I estimate 15 checks. Budget adjustments based on evaluations are handled at the university level, but at this phase, funds are disbursed as planned. I note that other participants' estimates are similar, but I use proportional reasoning for consulting and compliance rather than national totals."
a_arithmetic_cue_nearby,BK21_deepseek_19_Outputs_revised_4,BK21,deepseek,BK21_deepseek_19,"1,150; 2,300; 2,735; 2,875; 2,875","As a postdoc in chemical engineering at Hanyang University, I see the outputs phase as directly flowing from the inputs and activities. The prior phases established 1,150 graduate slots and 145 postdoc positions, with funds disbursed on schedule. In my own lab, I see graduate students produce about 2-3 publications per year and postdocs about 3-4, but I must account for field differences: my STEM group is high-output, but many education research groups in humanities/social sciences have lower productivity. I estimate an average of 2 publications per graduate student and 3 per postdoc across all fields, yielding 2,300 from graduates and 435 from postdocs, totaling 2,735. I round to 2,875 to account for collaborative publications. For international conference presentations, I estimate 0.5 per graduate student and 1 per postdoc, giving 575 from graduates and 145 from postdocs, totaling 720, but I round down to 575 because many presentations are domestic. I disagree with the higher estimates from the materials engineering student (서울 zxpc63) who assumed 2.5 publications per graduate student and 3.5 per postdoc, as that reflects only STEM fields. I also disagree with the lower estimates from the sociology student (인문사회계열 ewv1kt) who assumed 1.5 publications per graduate student and 2.5 per postdoc, as that underrepresents STEM output. My estimate of 2,875 publications and 575 presentations is a balanced middle ground, consistent with the education policy student (서울대학교 hohvrm) who also used 2 and 3 per capita."
